epoch,binary_accuracy,binary_crossentropy,fmeasure,loss,mean_squared_error,precision,recall,val_binary_accuracy,val_binary_crossentropy,val_fmeasure,val_loss,val_mean_squared_error,val_precision,val_recall
0,0.91790544380554062,2.431653644000892,0.0010482404805436918,0.28314565065540848,0.07533523334925997,0.0012713525120628792,0.0014072711573758323,0.91962354415838254,2.0958130887863904,0.0,0.25452107512192623,0.069321052938996333,0.0,0.0
1,0.92788596949277602,1.9479944580343911,0.30444772303085055,0.22327080099281907,0.059925300888632536,0.54827552830052173,0.23515058720020277,0.93721333116434813,1.7378246126005734,0.50408053761795457,0.20064450593440369,0.053525370957949674,0.67799185656820316,0.43175024941905349
2,0.93932165252069988,1.6843219910763718,0.48998791590715068,0.196497380630312,0.051674788986032151,0.75177342686884774,0.38999108434445695,0.94493726064817363,1.609942452002789,0.53196492555181685,0.18292947497165651,0.047655092811833361,0.82328346476107128,0.41730479756148542
3,0.94543979690405866,1.5083471400957273,0.55648660280610862,0.17775372702986675,0.046286093798790173,0.79465540299151971,0.45519526504495245,0.94863696084915949,1.6830748598692171,0.58657608649680126,0.17328491932073747,0.044598039049431132,0.81502735083467359,0.48653482617056765
4,0.94866926890875403,1.4297213055645634,0.58279475645496381,0.16856645450864946,0.04368945348245698,0.80718559005437673,0.48394705685014577,0.94922112193472818,1.1801025166443446,0.58345618628671503,0.17296178980675264,0.043678324087674046,0.83025256135875347,0.47639958706834729
5,0.95058423001490466,1.3673247407424969,0.60069189424040415,0.16148108727750382,0.04185280241825861,0.82370449056888984,0.50440964575187475,0.95064907425257716,1.36962700240904,0.63571473831018288,0.16307137560297638,0.042099967287802582,0.76560966989685575,0.57682205523210706
6,0.95293195387843266,1.2961445285504507,0.62425933978032155,0.1534541403768151,0.039832614089382372,0.83507601260803588,0.52867483565214846,0.95203375777657651,1.3782412114467315,0.63616441411406688,0.15893675599042495,0.040969916067659623,0.80616794079735599,0.55834155583577671
7,0.95447366043923676,1.2588005250219683,0.6417793356390803,0.14727271821647706,0.038369856306475554,0.85229607734615176,0.54680347617062275,0.95426222936047567,1.1479274137151132,0.65108412199853971,0.15881737170411311,0.039702113420786743,0.8154823041901037,0.5730459928151489
8,0.95562047462732669,1.2041691498594935,0.64175589389903176,0.14071315274821025,0.037037214378938262,0.84896646038118562,0.5479685183431916,0.95478148248380312,1.2928712605811052,0.65247969970925968,0.15956874565096038,0.040115261146551291,0.84085645326439407,0.56260962786224689
9,0.9572216874268823,1.149812369884176,0.66537194208550421,0.13282964803197031,0.035185515598658873,0.86583109571602801,0.57195622180945738,0.95244483298318616,1.1400224677106097,0.62257976147170091,0.16446673880403354,0.040772792125182818,0.8371133078026699,0.52406247765509306
10,0.95867683993110175,1.0907976402744231,0.6749880191736326,0.12378604162654087,0.033307681195288784,0.86476946062795612,0.58494726398297359,0.95235829302264929,1.1506996974961574,0.63605215290520212,0.16964999849741616,0.041235699886975993,0.81547990579307983,0.54986780474372676
11,0.96164665678859618,1.0097204826810098,0.7073367364760228,0.11307763141428484,0.030578082659331464,0.88090786189856529,0.61858500760960711,0.95246646841177951,1.1020850100490449,0.64479306547840864,0.17443539285391557,0.041452270537963014,0.77894831557440991,0.58283558966328397
